Id,Label,Kingdom,Phylum,Class,Order,Family,Genus,FC,PD_sig
g__Escherichia/Shigella,g__Escherichia/Shigella,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,0.853584023498178,No
g__Bacteroides,g__Bacteroides,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,0.959422360082879,No
g__Phascolarctobacterium,g__Phascolarctobacterium,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Acidaminococcaceae,Phascolarctobacterium,0.810750848345949,No
f__Enterobacteriaceae_unclass,f__Enterobacteriaceae_unclass,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,NA,0.916286857147978,No
g__Faecalibacterium,g__Faecalibacterium,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,0.663377786531736,Yes_Decreased
g__Pseudomonas,g__Pseudomonas,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,0.806326002436709,No
g__Agathobacter,g__Agathobacter,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Agathobacter,0.564341956507433,Yes_Decreased
g__Proteus,g__Proteus,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Proteus,0.576433353950059,No
g__Akkermansia,g__Akkermansia,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,1.33929484912509,No
g__Subdoligranulum,g__Subdoligranulum,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Subdoligranulum,1.06739982642428,No
g__Acidaminococcus,g__Acidaminococcus,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Acidaminococcaceae,Acidaminococcus,2.05669399957014,No
f__Lachnospiraceae_unclass,f__Lachnospiraceae_unclass,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,0.998076669663328,No
g__Parabacteroides,g__Parabacteroides,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,1.11445160643702,No
