Kingdom	Phylum	Class	Order	Family	Genus	dataset1_N	dataset1_CaseAvgRA	dataset1_ContAvgRA	dataset1_Ratio	dataset2_N	dataset2_CaseAvgRA	dataset2_ContAvgRA	dataset2_Ratio
Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	1	3.65012793698419e-06	0	Inf	NA	NA	NA	NA
Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	98	0.000612753397273237	0.000448547398264682	1.36608394039031	237	0.00447659177724566	0.00278093772102923	1.60974183038837
Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	14	4.48028828892413e-05	1.54410117455943e-05	2.90155098820028	21	0.000102814359570601	8.14818453328908e-05	1.26180696019533
Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	NA	1	8.20300804304939e-07	0	Inf	1	8.42619935414446e-08	0	Inf
Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus	13	5.45356014329645e-05	5.83975706610605e-06	9.33867638938084	48	0.000575927991024095	0.00016927627264687	3.40229603368895
Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomethylophilaceae	Candidatus_Methanomethylophilus	NA	NA	NA	NA	3	2.37839064576891e-06	1.19479618506516e-05	0.199062457304314
Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomethylophilaceae	NA	11	0.000164215151382468	6.94342102201723e-05	2.36504672353514	24	0.000385884322910347	0.000149804398453716	2.57592118050908
Bacteria	Acidobacteria	FFCH5909	NA	NA	NA	NA	NA	NA	NA	1	0	9.36999173941528e-08	0
Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	NA	NA	NA	NA	NA	NA	1	0	3.33493855042227e-06	0
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinobaculum	1	1.42881228549956e-06	0	Inf	14	1.1700524418286e-05	1.43077969047746e-06	8.17772610008287
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	21	9.50985087771255e-05	3.82625359133988e-05	2.48542096092026	413	0.00046933690630413	0.000324097813514828	1.44813351628075
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinotignum	1	1.30846363656114e-05	0	Inf	28	1.53063893557508e-05	9.24166714667128e-06	1.65623681450851
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Arcanobacterium	2	5.25685274562498e-06	2.803067677266e-06	1.8753927307072	17	6.04701804122128e-06	2.44652432471627e-06	2.47167705635731
